,EC,Superpathway
502,ec:1.1.1.237,Metabolism of cofactors and vitamins
503,ec:1.13.11.27,Metabolism of cofactors and vitamins
504,ec:1.14.13.11,Metabolism of cofactors and vitamins
505,ec:1.14.13.116,Metabolism of cofactors and vitamins
506,ec:1.14.13.240,Metabolism of cofactors and vitamins
507,ec:1.14.99.60,Metabolism of cofactors and vitamins
508,ec:1.17.4.4,Metabolism of cofactors and vitamins
509,ec:1.21.98.1,Metabolism of cofactors and vitamins
510,ec:1.6.5.2,Metabolism of cofactors and vitamins
511,ec:2.1.1.114,Metabolism of cofactors and vitamins
512,ec:2.1.1.163,Metabolism of cofactors and vitamins
513,ec:2.1.1.201,Metabolism of cofactors and vitamins
514,ec:2.1.1.222,Metabolism of cofactors and vitamins
515,ec:2.1.1.295,Metabolism of cofactors and vitamins
516,ec:2.1.1.64,Metabolism of cofactors and vitamins
517,ec:2.1.1.95,Metabolism of cofactors and vitamins
518,ec:2.2.1.9,Metabolism of cofactors and vitamins
519,ec:2.4.1.194,Metabolism of cofactors and vitamins
520,ec:2.5.1.115,Metabolism of cofactors and vitamins
521,ec:2.5.1.116,Metabolism of cofactors and vitamins
522,ec:2.5.1.117,Metabolism of cofactors and vitamins
523,ec:2.5.1.120,Metabolism of cofactors and vitamins
524,ec:2.5.1.39,Metabolism of cofactors and vitamins
525,ec:2.5.1.74,Metabolism of cofactors and vitamins
526,ec:2.5.1.93,Metabolism of cofactors and vitamins
527,ec:2.6.1.5,Metabolism of cofactors and vitamins
528,ec:3.1.2.23,Metabolism of cofactors and vitamins
529,ec:3.1.2.28,Metabolism of cofactors and vitamins
530,ec:3.2.2.26,Metabolism of cofactors and vitamins
531,ec:3.2.2.30,Metabolism of cofactors and vitamins
532,ec:3.5.4.40,Metabolism of cofactors and vitamins
533,ec:4.1.1.90,Metabolism of cofactors and vitamins
534,ec:4.1.1.98,Metabolism of cofactors and vitamins
535,ec:4.1.3.36,Metabolism of cofactors and vitamins
536,ec:4.1.3.40,Metabolism of cofactors and vitamins
537,ec:4.2.1.113,Metabolism of cofactors and vitamins
538,ec:4.2.1.151,Metabolism of cofactors and vitamins
539,ec:4.2.99.20,Metabolism of cofactors and vitamins
540,ec:5.4.4.2,Metabolism of cofactors and vitamins
541,ec:5.5.1.24,Metabolism of cofactors and vitamins
542,ec:6.2.1.12,Metabolism of cofactors and vitamins
543,ec:6.2.1.26,Metabolism of cofactors and vitamins
544,ec:1.1.1.145,Lipid metabolism
545,ec:1.1.1.146,Lipid metabolism
546,ec:1.1.1.148,Lipid metabolism
547,ec:1.1.1.149,Lipid metabolism
548,ec:1.1.1.152,Lipid metabolism
549,ec:1.1.1.213,Lipid metabolism
550,ec:1.1.1.239,Lipid metabolism
551,ec:1.1.1.50,Lipid metabolism
552,ec:1.1.1.51,Lipid metabolism
553,ec:1.1.1.53,Lipid metabolism
554,ec:1.1.1.62,Lipid metabolism
555,ec:1.1.1.64,Lipid metabolism
556,ec:1.14.14.1,Lipid metabolism
557,ec:1.14.14.14,Lipid metabolism
558,ec:1.14.14.16,Lipid metabolism
559,ec:1.14.14.19,Lipid metabolism
560,ec:1.14.14.23,Lipid metabolism
561,ec:1.14.14.29,Lipid metabolism
562,ec:1.14.14.32,Lipid metabolism
563,ec:1.14.15.4,Lipid metabolism
564,ec:1.14.15.5,Lipid metabolism
565,ec:1.14.15.6,Lipid metabolism
566,ec:1.14.99.11,Lipid metabolism
567,ec:1.14.99.12,Lipid metabolism
568,ec:1.14.99.14,Lipid metabolism
569,ec:1.3.1.22,Lipid metabolism
